0,0.0
1,0.25
1,0.5
1,0.75
1,1.0
0,1.25
1,1.5
0,1.75
0,2.0
1,2.25
0,2.5
1,2.75
0,3.0
0,3.25
1,3.5
0,3.75
0,4.0
0,4.25
1,4.5
0,4.75
1,5.0
0,5.25
1,5.5
1,5.75
0,6.0
1,6.25
1,6.5
1,6.75
1,7.0
0,7.25
0,7.5
0,7.75
0,8.0
0,8.25
1,8.5
0,8.75
0,9.0
1,9.25
1,9.5
0,9.75
1,10.0
0,10.25
0,10.5
1,10.75
0,11.0
0,11.25
1,11.5
1,11.75
1,12.0
1,12.25
1,12.5
0,12.75
0,13.0
0,13.25
0,13.5
0,13.75
0,14.0
1,14.25
0,14.5
0,14.75
1,15.0
0,15.25
1,15.5
0,15.75
1,16.0
0,16.25
0,16.5
1,16.75
1,17.0
0,17.25
1,17.5
0,17.75
0,18.0
0,18.25
0,18.5
0,18.75
1,19.0
0,19.25
0,19.5
1,19.75
1,20.0
0,20.25
1,20.5
1,20.75
0,21.0
1,21.25
1,21.5
1,21.75
1,22.0
1,22.25
1,22.5
0,22.75
0,23.0
0,23.25
1,23.5
0,23.75
1,24.0
1,24.25
1,24.5
1,24.75
1,25.0
1,25.25
1,25.5
0,25.75
0,26.0
1,26.25
1,26.5
0,26.75
0,27.0
0,27.25
0,27.5
0,27.75
0,28.0
0,28.25
1,28.5
1,28.75
1,29.0
1,29.25
1,29.5
1,29.75
1,30.0
0,30.25
1,30.5
0,30.75
1,31.0
1,31.25
0,31.5
1,31.75
1,32.0
0,32.25
1,32.5
0,32.75
0,33.0
0,33.25
1,33.5
1,33.75
0,34.0
0,34.25
1,34.5
0,34.75
1,35.0
1,35.25
0,35.5
0,35.75
0,36.0
0,36.25
0,36.5
0,36.75
1,37.0
0,37.25
0,37.5
1,37.75
1,38.0
1,38.25
0,38.5
0,38.75
0,39.0
1,39.25
1,39.5
1,39.75
1,40.0
1,40.25
0,40.5
1,40.75
1,41.0
1,41.25
1,41.5
1,41.75
0,42.0
0,42.25
1,42.5
1,42.75
1,43.0
0,43.25
0,43.5
1,43.75
0,44.0
0,44.25
1,44.5
0,44.75
1,45.0
0,45.25
1,45.5
0,45.75
0,46.0
0,46.25
1,46.5
1,46.75
1,47.0
0,47.25
0,47.5
1,47.75
0,48.0
0,48.25
1,48.5
0,48.75
1,49.0
1,49.25
0,49.5
0,49.75
1,50.0
0,50.25
0,50.5
1,50.75
1,51.0
0,51.25
1,51.5
0,51.75
0,52.0
1,52.25
1,52.5
1,52.75
1,53.0
0,53.25
1,53.5
1,53.75
1,54.0
1,54.25
0,54.5
